id;excel_id;schema_version;name;kuerzel;typ;rechtsform;ebene;sitz;bundesland;koordinaten;gruendungsjahr;aufgeloest;aufgeloest_jahr;zustaendigkeit;website;rechtsgrundlage;haushalt_mio_eur;haushalt_jahr;beschaeftigte;beschaeftigte_jahr;ministerium_id;ressort;klassifikation;anmerkung;beziehungen;quellen;daten_qualitaet;recherche_datum;recherche_agent_version
antbun_16;16;1.0;Antidiskriminierungsstelle des Bundes;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Beratungsstelle;https://www.service.bund.de;;14.0;2025;;;bmbfsj;Bundesministerium für Familie, Senioren, Frauen und Jugend (BMFSFJ);Beratungsstelle;Finanzierung über das Ressort Bundesministerium für Familie, Senioren, Frauen und Jugend (BMFSFJ);"[{""zu_id"": ""bmbfsj"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
aokbunegb_52177;52177;1.0;AOK Bundesverband eGbR;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Verband;https://www.service.bund.de;;;;;;bmg;Bundesministerium für Gesundheit (BMG);Verband;Finanzierung über das Ressort Bundesministerium für Gesundheit (BMG);"[{""zu_id"": ""bmg"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
arbfürstäbauwoh_16833;16833;1.0;Arbeitsgemeinschaft der für Städtebau, Bau- und Wohnungswesen zuständigen Minister und Senatoren der 16 Länder der Bundesrepublik Deutschland;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Bau;https://www.service.bund.de;;6361.68;2025;;;bmas;Bundesministerium für Arbeit und Soziales (BMAS);Bau;Finanzierung über das Ressort Bundesministerium für Arbeit und Soziales (BMAS);"[{""zu_id"": ""bmas"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
arblandie_14157;14157;1.0;Arbeitsmarktservice im Landkreis Diepholz;;KdöR;Dienststelle der BA;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Jobcenter;https://www.arbeitsagentur.de;;;;;;bmas;Bundesministerium für Arbeit und Soziales (BMAS);Jobcenter;Aggregiert unter Bundesagentur für Arbeit (BA);"[{""zu_id"": ""bmas"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.arbeitsagentur.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
arthee_36;36;1.0;Artillerieschule des Heeres;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Militärische Ausbildungsstätte;https://www.service.bund.de;;;;;;bmvg;Bundesministerium der Verteidigung (BMVg);Militärische Ausbildungsstätte;Finanzierung über das Ressort Bundesministerium der Verteidigung (BMVg);"[{""zu_id"": ""bmvg"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
astins_37;37;1.0;Astrophysikalisches Institut;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;;https://www.service.bund.de;;2.01;2025;;;bmbfsj;Bundesministerium für Bildung und Forschung (BMBF);;Finanzierung über das Ressort Bundesministerium für Bildung und Forschung (BMBF);"[{""zu_id"": ""bmbfsj"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 58.3, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
audbkk_6574;6574;1.0;Audi BKK;;KdöR;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Krankenkasse;https://www.audibkk.de/;;;;900;2024;bmas;Bundesministerium für Arbeit und Soziales (BMAS);Krankenkasse;Finanzierung über das Ressort Bundesministerium für Arbeit und Soziales (BMAS);"[{""zu_id"": ""bmas"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.audibkk.de/""]";"{""vollstaendigkeit_prozent"": 75.0, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
ausamt_43;43;1.0;Auswärtiges Amt;;Ministerium;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Ministerium;https://www.service.bund.de;;6030.0;2025;13600;2024;aa;Auswärtiges Amt (AA);Ministerium;Finanzierung über das Ressort Auswärtiges Amt (AA);"[{""zu_id"": ""aa"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 75.0, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
ausfürdigsta_52044;52044;1.0;Ausschuss für Digitales und Staatsmodernisierung;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;;https://www.service.bund.de;;62.93;2025;;;bt;Deutscher Bundestag;;Finanzierung über das Ressort Deutscher Bundestag;"[{""zu_id"": ""bt"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 58.3, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
ausmun_41;41;1.0;Ausbildungszentrum Munster;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Militärische Ausbildungsstätte;https://www.bundeswehr.de/de/organisation/heer/organisation/ausbildungskommando/panzertruppenschule/;;;;;;bmvg;Bundesministerium der Verteidigung (BMVg);Militärische Ausbildungsstätte;Finanzierung über das Ressort Bundesministerium der Verteidigung (BMVg);"[{""zu_id"": ""bmvg"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.bundeswehr.de/de/organisation/heer/organisation/ausbildungskommando/panzertruppenschule/""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
ausspeope_42;42;1.0;Ausbildungszentrum Spezielle Operationen;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Militärische Ausbildungsstätte;https://www.bundeswehr.de/de/organisation/heer/organisation/ausbildungskommando/ausbildungszentrum-spezielle-operationen/;;;;;;bmvg;Bundesministerium der Verteidigung (BMVg);Militärische Ausbildungsstätte;Finanzierung über das Ressort Bundesministerium der Verteidigung (BMVg);"[{""zu_id"": ""bmvg"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.bundeswehr.de/de/organisation/heer/organisation/ausbildungskommando/ausbildungszentrum-spezielle-operationen/""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
autnor_11168;11168;1.0;Autobahndirektion Nordbayern;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Autobahndirektion;https://www.service.bund.de;;;;;;bmv;Bundesministerium für Digitales und Verkehr (BMDV);Autobahndirektion;Finanzierung über das Ressort Bundesministerium für Digitales und Verkehr (BMDV);"[{""zu_id"": ""bmv"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
ba;;1.0;Bundesagentur für Arbeit;BA;KdöR;Körperschaft des öffentlichen Rechts;Bund;Nürnberg;Bayern;"{""lat"": null, ""lon"": null}";1952;false;;Arbeitsvermittlung, Arbeitslosenversicherung, Berufsberatung, Arbeitsmarktstatistik;https://www.arbeitsagentur.de;Sozialgesetzbuch III (SGB III);42500.0;2025;113000;2024;bmas;;;;"[{""zu_id"": ""bmas"", ""typ"": ""RECHTSAUFSICHT"", ""richtung"": ""eingehend"", ""seit"": 1952}]";"[""https://www.arbeitsagentur.de"", ""https://www.bundeshaushalt.de""]";"{""vollstaendigkeit_prozent"": 100.0, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
baaInBw;;1.0;Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr;BAAINBw;Bundesamt;Dienststelle der Bundeswehrverwaltung;Bund;Koblenz;Rheinland-Pfalz;"{""lat"": null, ""lon"": null}";2012;false;;Rüstung, IT der Bundeswehr, Beschaffung, Nutzungsmanagement, Materialerhaltung;https://www.baainbw.de;Organisationserlass BMVg;;;11000;2024;bmvg;;;;"[{""zu_id"": ""bmvg"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": 2012}]";"[""https://www.baainbw.de"", ""https://www.bundeshaushalt.de""]";"{""vollstaendigkeit_prozent"": 100.0, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
bafin;;1.0;Bundesanstalt für Finanzdienstleistungsaufsicht;BaFin;Bundesanstalt;Anstalt des öffentlichen Rechts;Bund;Bonn;Nordrhein-Westfalen;"{""lat"": null, ""lon"": null}";2002;false;;Finanzaufsicht, Bankenaufsicht, Versicherungsaufsicht, Wertpapieraufsicht, Verbraucherschutz;https://www.bafin.de;Finanzdienstleistungsaufsichtsgesetz (FinDAG);450.0;2025;3100;2024;bmf;;;;"[{""zu_id"": ""bmf"", ""typ"": ""RECHTSAUFSICHT"", ""richtung"": ""eingehend"", ""seit"": 2002}, {""zu_id"": ""dbb"", ""typ"": ""KOORDINIERT_MIT"", ""richtung"": ""ausgehend"", ""seit"": 2002}]";"[""https://www.bafin.de"", ""https://www.bundeshaushalt.de""]";"{""vollstaendigkeit_prozent"": 100.0, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
bahbkk_6575;6575;1.0;BAHN-BKK;;KdöR;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Krankenkasse;https://www.bahn-bkk.de/;;2600.0;2025;1109;2024;bmas;Bundesministerium für Arbeit und Soziales (BMAS);Krankenkasse;Finanzierung über das Ressort Bundesministerium für Arbeit und Soziales (BMAS);"[{""zu_id"": ""bmas"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.bahn-bkk.de/""]";"{""vollstaendigkeit_prozent"": 75.0, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
bamf;;1.0;Bundesamt für Migration und Flüchtlinge;BAMF;Bundesoberbehörde;Bundesoberbehörde;Bund;Nürnberg;Bayern;"{""lat"": null, ""lon"": null}";1953;false;;Asylverfahren, Migration, Integration, Rückkehrförderung, Integrationskurse;https://www.bamf.de;Aufenthaltsgesetz § 75, Asylgesetz;879.1;2025;8000;2024;bmi;;;;"[{""zu_id"": ""bmi"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": 1953}]";"[""https://www.bamf.de"", ""https://www.bundeshaushalt.de""]";"{""vollstaendigkeit_prozent"": 100.0, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
bargek_44;44;1.0;BARMER GEK;;KdöR;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Krankenkasse;https://www.barmer.de/;;45000.0;2025;13859;2024;bmas;Bundesministerium für Arbeit und Soziales (BMAS);Krankenkasse;Finanzierung über das Ressort Bundesministerium für Arbeit und Soziales (BMAS);"[{""zu_id"": ""bmas"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.barmer.de/""]";"{""vollstaendigkeit_prozent"": 75.0, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
base;;1.0;Bundesamt für die Sicherheit der nuklearen Entsorgung;BASE;Bundesamt;Bundesoberbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";2014;false;;Nukleare Entsorgungssicherheit, Endlagersuche, Zwischenlagerüberwachung, Genehmigungen;https://www.base.bund.de;Gesetz zur Errichtung eines Bundesamtes für kerntechnische Entsorgungssicherheit;60.9;2025;450;2024;bmuv;;;;"[{""zu_id"": ""bmuv"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": 2014}]";"[""https://www.base.bund.de"", ""https://www.bundeshaushalt.de""]";"{""vollstaendigkeit_prozent"": 100.0, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
bast;;1.0;Bundesanstalt für Straßenwesen;BASt;Bundesanstalt;Bundesanstalt;Bund;Bergisch Gladbach;Nordrhein-Westfalen;"{""lat"": null, ""lon"": null}";1951;false;;Straßenverkehrssicherheit, Straßenbautechnik, Brückenbau, Fahrzeugtechnik, Verkehrsforschung;https://www.bast.de;Gesetz über die Errichtung der Bundesanstalt für Straßenwesen;53.4;2025;380;2024;bmv;;;;"[{""zu_id"": ""bmv"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": 1951}]";"[""https://www.bast.de"", ""https://www.bundeshaushalt.de""]";"{""vollstaendigkeit_prozent"": 100.0, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
baua;;1.0;Bundesanstalt für Arbeitsschutz und Arbeitsmedizin;BAuA;Bundesanstalt;Bundesanstalt;Bund;Dortmund;Nordrhein-Westfalen;"{""lat"": null, ""lon"": null}";1996;false;;Arbeitsschutz, Arbeitsmedizin, Arbeitssicherheit, Gefahrstoffe, Produktsicherheit;https://www.baua.de;Gesetz über die Errichtung der Bundesanstalt für Arbeitsschutz und Arbeitsmedizin;94.9;2025;650;2024;bmas;;;;"[{""zu_id"": ""bmas"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": 1996}]";"[""https://www.baua.de"", ""https://www.bundeshaushalt.de""]";"{""vollstaendigkeit_prozent"": 100.0, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
bbk;;1.0;Bundesamt für Bevölkerungsschutz und Katastrophenhilfe;BBK;Bundesamt;Bundesoberbehörde;Bund;Bonn;Nordrhein-Westfalen;"{""lat"": null, ""lon"": null}";2004;false;;Bevölkerungsschutz, Katastrophenhilfe, Warnung, KRITIS, Zivilschutz;https://www.bbk.bund.de;Zivilschutz- und Katastrophenhilfegesetz (ZSKG), BBK-Errichtungsgesetz;332.8;2025;502;2024;bmi;;;;"[{""zu_id"": ""bmi"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": 2004}, {""zu_id"": ""thw"", ""typ"": ""KOORDINIERT_MIT"", ""richtung"": ""ausgehend"", ""seit"": 2004}]";"[""https://www.bbk.bund.de"", ""https://www.bundeshaushalt.de""]";"{""vollstaendigkeit_prozent"": 100.0, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
beaaufsexkin_159;159;1.0;Beauftragte zur Aufarbeitung des sexuellen Kindesmissbrauchs;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Beauftragte;https://www.service.bund.de;;2.34;2025;;;bmas;Bundesministerium für Arbeit und Soziales (BMAS);Beauftragte;Finanzierung über das Ressort Bundesministerium für Arbeit und Soziales (BMAS);"[{""zu_id"": ""bmas"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
beabunfürakzsex_49839;49839;1.0;Beauftragter der Bundesregierung für die Akzeptanz sexueller und geschlechtlicher Vielfalt;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Beauftragte;https://www.bmbfsfj.bund.de/bmbfsfj/ministerium/behoerden-beauftragte-beiraete-gremien/beauftragte-der-bundesregierung-fuer-die-akzeptanz-sexueller-und-geschlechtlicher-vielfalt;;17.24;2025;;;bmbfsj;Bundesministerium für Familie, Senioren, Frauen und Jugend (BMFSFJ);Beauftragte;Finanzierung über das Ressort Bundesministerium für Familie, Senioren, Frauen und Jugend (BMFSFJ);"[{""zu_id"": ""bmbfsj"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.bmbfsfj.bund.de/bmbfsfj/ministerium/behoerden-beauftragte-beiraete-gremien/beauftragte-der-bundesregierung-fuer-die-akzeptanz-sexueller-und-geschlechtlicher-vielfalt""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
beabunfüranlbet_48946;48946;1.0;Beauftragte der Bundesregierung für die Anliegen von Betroffenen von terroristischen und extremistischen Anschlägen im Inland;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Beauftragte;https://www.service.bund.de;;2.34;2025;;;bmi;Bundesministerium des Innern und für Heimat (BMI);Beauftragte;Finanzierung über das Ressort Bundesministerium des Innern und für Heimat (BMI);"[{""zu_id"": ""bmi"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
beabunfürausnat_48;48;1.0;Beauftragter der Bundesregierung für Aussiedlerfragen und nationale Minderheiten;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Beauftragte;https://www.service.bund.de;;183.68;2025;;;bmi;Bundesministerium des Innern und für Heimat (BMI);Beauftragte;Finanzierung über das Ressort Bundesministerium des Innern und für Heimat (BMI);"[{""zu_id"": ""bmi"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
