Organisation;Adresse;PLZ;Ort;Telefon;Telefax;E-Mail;Internetadresse
Allgemeine Ortskrankenkasse Rheinland/Hamburg;Wanheimer Straße 72;40468;Düsseldorf;+49 211 8791-0;+49 211 8791-1125;aok@rh.aok.de;https://www.aok.de/pk/rh/
Allgemeine Ortskrankenkasse Sachsen-Anhalt;Lüneburger Straße 4;39106;Magdeburg;+49 800 2265726;+49 391 2878-47878;service@san.aok.de;https://www.deine-gesundheitswelt.de/
AlliiertenMuseum e. V.;Clayallee 135;14195;Berlin;+49 30 818199-0;;info@alliiertenmuseum.de;https://www.alliiertenmuseum.de
Amt für Binnen-Verkehrstechnik;Schartwiesenweg 4;56070;Koblenz;+49 261 9819-0;+49 261 9819-2155;abvt@wsv.bund.de;https://www.abvt.wsv.de/Webs/WSA/ABVT/DE/Startseite/startseite_node.html
Amt für Heeresentwicklung;Colonia-Allee 10-20;51067;Köln;+49 221 29933 2140;;ahentwginfoa@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/heer/organisation/amt-fuer-heeresentwicklung
Antidiskriminierungsstelle des Bundes;Glinkastraße 24;10117;Berlin;+49 800 546 546 5;+49 3018 555-41865;poststelle@ads.bund.de;https://www.antidiskriminierungsstelle.de/
AOK Rheinland-Pfalz/Saarland;Virchowstraße 30;67304;Eisenberg;+49 800 4772000;;;https://www.aok.de/pk/rps/
AOK- Bundesverband;Rosenthaler Straße 31;10178;Berlin;+49 30 34646-0;;info@bv.aok.de;https://www.aok.de/pp/bv
Arbeitsgemeinschaft der Entwicklungsdienste e. V. - Förderungswerk -;Meckenheimer Allee 67 - 69;53115;Bonn;+49 228 908 99-30;+49 228 908 99-38;info@agdd.de;https://www.agdd.de/de/agdd/foerderungswerk
Arbeitsgemeinschaft für Kinder- und Jugendhilfe e. V.;Mühlendamm 3;10178;Berlin;+49 30 400 40-200;+49 30 400 40-232;agj@agj.de;https://www.agj.de
Arbeitsgemeinschaft für wirtschaftliche Verwaltung e. V.;Düsseldorfer Straße 40;65760;Eschborn;+49 6196 777 26-0;+49 6196 777 26-51;info@awv-net.de;https://www.awv-net.de/
Assessmentcenter für Führungskräfte der Bundeswehr;Kölner Straße 262;51149;Köln;+49 2203 105 2418;;ac-bewerbung@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/organisation-/bundesamt-fuer-das-personalmanagement-der-bundeswehr-/assessmentcenter-fuer-fuehrungskraefte-der-bundeswehr-
Ausbildungs- und Übungszentrum Luftbeweglichkeit;Flugplatz 1;29225;Celle;+49 5141-9483-1010;;AusbUebZLbwglk@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/heer/organisation/ausbildungskommando/ausbildungs-und-uebungszentrum-luftbeweglichkeit
Ausbildungskommando;Landsberger Straße 133;04157;Leipzig;+49 341 5950;+49 341 595 3109;AusbKdoPressestelle@bundeswehr.org;https://www.bundeswehr.de/de/organisation/heer/organisation/ausbildungskommando
Ausbildungszentrum Spezielle Operationen;Kasernenstraße 20;88630;Pfullendorf;+49 7552 405-2600;+49 7552 405-2018;AusbZSpezlOpStabS1@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/heer/organisation/ausbildungskommando/ausbildungszentrum-spezielle-operationen
Auswärtiges Amt;Werderscher Markt 1;10117;Berlin;+49 30 5000-0, -2000;+49 30 1817 51000;buergerservice@diplo.de;https://www.auswaertiges-amt.de/de
Bataillon Elektronische Kampfführung 911;Am Tannenberg 1;25917;Stadum;+49 4662 82-0;;EloKaBtl911s3@bundeswehr.org;https://www.bundeswehr.de/de/organisation/cyber-und-informationsraum/kommando-und-organisation-cir/kommando-cyber-und-informationsraum/kommando-aufklaerung-wirkung/bataillon-elektronische-kampffuehrung-911
Bataillon Elektronische Kampfführung 912;Am Rehhagen 10;31582;Nienburg (Weser);+49 5021 800-0;;kdocirpizcir@bundeswehr.org;https://www.bundeswehr.de/de/organisation/cyber-und-informationsraum/kommando-und-organisation-cir/kommando-cyber-und-informationsraum/kommando-aufklaerung-wirkung/bataillon-elektronische-kampffuehrung-912
Bataillon Elektronische Kampfführung 931;Heinrich-Hertz-Straße 6;54550;Daun;+49 6592 17-1000;;EloKaBtl931S1@bundeswehr.org;https://www.bundeswehr.de/de/organisation/cyber-und-informationsraum/kommando-und-organisation-cir/kommando-cyber-und-informationsraum
Bataillon Elektronische Kampfführung 932;Marburger Straße 75;35066;Frankenberg;+49 6451 740-2002;;kdocirpizcir@bundeswehr.org;https://www.bundeswehr.de/de/organisation/cyber-und-informationsraum/kommando-und-organisation-cir/kommando-cyber-und-informationsraum/kommando-aufklaerung-wirkung/bataillon-elektronische-kampffuehrung-932
Beauftragte der Bundesregierung für die Akzeptanz sexueller und geschlechtlicher Vielfalt (Queerbeauftragter);Glinkastraße 24;10117;Berlin;+49 30 201 791 30;;info@bmbfsfjservice.bund.de;https://www.bmbfsfj.bund.de/bmbfsfj/ministerium/behoerden-beauftragte-beiraete-gremien/beauftragte-der-bundesregierung-fuer-die-akzeptanz-sexueller-und-geschlechtlicher-vielfalt
Beauftragte der Bundesregierung für die Behandlung von Zahlungen an die Konversionskasse;DGZ-Ring 12;13086;Berlin;+49 30 7030-0;;Poststelle@badv.bund.de;https://www.bmi.bund.de
Beauftragte der Bundesregierung für Fragen der Abrüstung und Rüstungskontrolle;Werderscher Markt 1;10117;Berlin;+49 3018 17-2673;+49 3018 17-52674;OR-D@diplo.de;https://www.auswaertiges-amt.de/de/aamt/auswdienst/abteilungen/or-214968
Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration sowie Beauftragte der Bundesregierung für Antirassismus;Wilhelmstraße 49;10117;Berlin;+49 30 18400 1606;;buero.pawlik@bmas.bund.de;https://www.integrationsbeauftragte.de/
Beauftragte der Bundesregierung für Ostdeutschland;Wilhelmstraße 97;10117;Berlin;+49 3018 682-0;+49 3018 682-32 60;ostbeauftragte@bmf.bund.de;https://www.ostbeauftragte.de/ostb-de 
Beauftragter der Bundesregierung für  Religions- und Weltanschauungsfreiheit;Werderscher Markt 1;10117;Berlin;+49 30 1817-1270;;rwf-b@diplo.de;https://www.bmz.de/de/aktuelles/aktuelle-meldungen/frank-schwabe-neuer-beauftragter-religionsfreiheit-101022
Beauftragter der Bundesregierung für Aussiedlerfragen und nationale Minderheiten;Alt-Moabit 140;10557;Berlin;+49 30 18 681-11120;+49 30 18 681-11138;BAFabritius@bmi.bund.de;https://www.aussiedlerbeauftragte.de/Webs/AUSB/DE/startseite/startseite-node.html
Beauftragter der Bundesregierung für die Anliegen von Betroffenen von terroristischen und extremistischen Anschlägen im Inland;Anton-Wilhelm-Amo-Straße 37;10117;Berlin;+49 30 18 580-8050;+49 30 18 580-9525;poststelle@bmjv.bund.de;https://www.bmj.de/DE/Themen/OpferschutzUndGewaltpraevention/Opferbeauftragter/Opferbeauftragter_node.html
Beauftragter der Bundesregierung für die Belange der Patientinnen und Patienten;Friedrichstraße 108;10117;Berlin;+49 30 18441 - 4491;+49 30 18441-4499;Patientenrechte@bmg.bund.de;https://patientenbeauftragter.de/
Beauftragter der Bundesregierung für die Belange von Menschen mit Behinderungen;Mauerstraße 53;10117;Berlin;+49 30 221 911 006;;presse@behindertenbeauftragter.de;https://www.behindertenbeauftragter.de/DE/AS/startseite/startseite-node.html
Beauftragter der Bundesregierung für die Nachrichtendienste des Bundes;Willy-Brandt-Straße 1;10557;Berlin;+49 3018 400-2070;+49 3010 400-2070;Thorsten.Frei@bk.bund.de;https://www.bundesregierung.de/Content/DE/StatischeSeiten/Breg/element-chef-des-bundeskanzleramtes.html
Beauftragter der Bundesregierung für jüdisches Leben in Deutschland und den Kampf gegen Antisemitismus;Alt-Moabit 140;10557;Berlin;+49 30 18 681-11047;;BAKlein@bmi.bund.de;https://www.bmi.bund.de/DE/ministerium/beauftragte/beauftragter-antisemitismus/beauftragter-antisemitismus-artikel.html
Beauftragter der Bundesregierung für Kultur und Medien;Villemombler Straße 76;53123;Bonn;+49 30 18 681-0;;poststelle@bkm.bund.de;https://kulturstaatsminister.de/
Beauftragter der Bundesregierung für Menschenrechtspolitik und Humanitäre Hilfe im Auswärtigen Amt;Werderscher Markt 1;10117;Berlin;+49 30 18 17 - 4765;+49 30 18 17 - 54765;MRHH-B@diplo.de;https://www.auswaertiges-amt.de/de/aamt/koordinatoren/menschenrechte-humanitaere-hilfe-node/menschenrechte-humanitaere-hilfe/205164
Beauftragter der Bundesregierung für Mittelstand;Scharnhorststraße 34-37;10115;Berlin;+49 3018 615-0;+49 30 18 615-5242;poststelle@bmwe.bund.de;https://www.bmwk.de/Navigation/DE/Ministerium/Koordinatoren-und-Beauftragte/koordinatoren-und-beauftragte.html
Beauftragter der Bundesregierung für Sucht- und Drogenfragen;Friedrichstraße 108;10117;Berlin;+49 3018 441-1452;+49 30 20640-4960;Drogenbeauftragter@bmg.bund.de;https://www.bundesdrogenbeauftragter.de/beauftragter/ 
Beauftragter der Bundesregierung gegen Antiziganismus und für das Leben der Sinti und Roma in Deutschland;Glinkastraße 35;10117;Berlin;+49 30 18 555-1151;;antiziganismusbeauftragter@bmbfsfj.bund.de;https://www.bmfsfj.de/bmfsfj/aktuelles/presse/pressemitteilungen/bundesregierung-beruft-erstmals-antiziganismus-beauftragten-193920
Beauftragter für die deutsch-französische Zusammenarbeit;Werderscher Markt 1;10117;Berlin;+49 3018 17-2451;+49 3018 17-52451;STM-EU@diplo.de;https://www.auswaertiges-amt.de/de/aamt/koordinatoren/deutsch-franzoesische-zusammenarbeit-node
Berlin-Brandenburgisches Institut für deutsch-französische Zusammenarbeit - Stiftung Genshagen;Am Schloss 1;14974;Genshagen;+49 3378 805931;+49 3378 870013;institut@stiftung-genshagen.de;https://www.stiftung-genshagen.de/
Bernhard-Nocht-Institut für Tropenmedizin;Bernhard-Nocht-Straße 74;20359;Hamburg;+49 40 42818-0;+49 40 42818-400;bni@bnitm.de;https://www.bnitm.de
Berufsbildungszentrum Kleinmachnow (der WSV bei der GDWS);Stahnsdorfer Damm 1;14532;Kleinmachnow;+49 228 70907300;+49 228 70907301;bbiz-kleinmachnow@wsv.bund.de;https://www.gdws.wsv.bund.de/DE/gdws/Bildungseinrichtungen/BBIZ_Klm/BBiZ_Klm-node.html
Berufsbildungszentrum Koblenz (der WSV bei der GDWS);Hafenstraße 1;56070;Koblenz;+49 228 70909008;+49 228 70907259;bbiz-koblenz@wsv.bund.de;https://www.gdws.wsv.de
Berufsgenossenschaft der Bauwirtschaft;Bundesallee 210;10719;Berlin;+49 30 85781-0;+49 30 85781-500;info@bgbau.de;https://www.bgbau.de
Berufsgenossenschaft Energie Textil Elektro Medienerzeugnisse;Gustav-Heinemann-Ufer 130;50968;Köln;+49 221 3778-0;+49 221 3778-1199;;https://www.bgetem.de
Berufsgenossenschaft für Gesundheitsdienst und Wohlfahrtspflege;Pappelallee 33, 35, 37;22089;Hamburg;+49 40 20207-0;+49 40 20207-2495;online-redaktion@bgw-online.de;https://www.bgw-online.de
Berufsgenossenschaft Handel und Warenlogistik;M 5, 7 ;68161;Mannheim;+49 621 183-0;+49 621 183-5191;info@bghw.de;https://www.bghw.de/
Berufsgenossenschaft Holz und Metall;Isaac-Fulda-Allee 18;55124;Mainz;+49 6131 802-0;+49 6131 802-20800;service@bghm.de;https://www.bghm.de/
Berufsgenossenschaft Nahrungsmittel und Gastgewerbe;Dynamostraße 7 - 11;68165;Mannheim;+49 621 4456-0;+49 800 1977553-10200;info@bgn.de;https://www.bgn.de
Berufsgenossenschaft Rohstoffe und chemische Industrie;Kurfürsten-Anlage 62;69115;Heidelberg;+49 6221 5108-0;+49 6221 5108-48549;info@bgrci.de;https://www.bgrci.de/
Berufsgenossenschaft Verkehrswirtschaft, Post-Logistik und Telekommunikation;Ottenser Hauptstraße 54;22765;Hamburg;+49 40 3980-0;;info@bg-verkehr.de;https://www.bg-verkehr.de/
Beschaffungsamt des BMI;Brühler Straße 3;53119;Bonn;+49 22899 610-0;+49 22899 610-1610;poststelle@bescha.bund.de;https://www.bescha.bund.de
Bevollmächtigte der Bundesregierung für Pflege;Mauerstraße 29;10117;Berlin;+49 30 18441-3420;+49 30 18441-3422;pflegebevollmaechtigte@bmg.bund.de;https://www.pflegebevollmaechtigte.de/
Bildungs- und Wissenschaftszentrum der Bundesfinanzverwaltung;Gescherweg 100;48161;Münster;+49 228 303-95400;+49 228 303-98383;bwz.qzd@bwz.bund.de;https://www.zoll.de/DE/Karriere/Ausbildung-Studium/Zollausbildung/_functions/bwz_muenster.html?faqCalledDoc=278740
Bildungszentrum der Bundeswehr -  Bundesakademie;Seckenheimer Landstraße 12;68163;Mannheim;+49 621 4295-2115;+49 621 4295-1316;bizbw@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bildungszentrum-der-bundeswehr-/bildungszentrum-der-bundeswehr
Brandschutzamt der Bundeswehr;Hofener Straße 16;87527;Sonthofen;+49 8321 6755-2001;+49 8321 6755-2111;ZBrdSchBwPosteingang@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/zentrum-brandschutz-der-bundeswehr
Bund der Vertriebenen e. V.;Godesberger Allee 72 - 74;53175;Bonn;+49 228 81007-0;+49 228 81007-52;info@bund-der-vertriebenen.de;https://www.bund-der-vertriebenen.de
Bund deutscher Nordschleswiger;Vestergade 30;06200;Apenrade;+45 7462 3833;;generalsekretariat@bdn.dk;https://www.bdn.dk
Bundesagentur für Arbeit;Regensburger Straße 104;90478;Nürnberg;+49 911 179-0;+49 911 179-2123;Zentrale@arbeitsagentur.de;https://www.arbeitsagentur.de/
Bundesagentur für Arbeit - Regionaldirektion Baden-Württemberg;Hölderlinstraße 36;70174;Stuttgart;+49 711 941-0;+49 711 941-1640;Baden-Wuerttemberg@arbeitsagentur.de;https://www3.arbeitsagentur.de/web/content/DE/service/Ueberuns/Regionaldirektionen/BadenWuerttemberg/index.htm
Bundesagentur für Arbeit - Regionaldirektion Bayern;Thomas-Mann-Str. 50;90478;Nürnberg;+49 911 179-0;+49 911 179-4202;Bayern@arbeitsagentur.de;https://www3.arbeitsagentur.de/web/content/DE/service/Ueberuns/Regionaldirektionen/Bayern/index.htm
Bundesagentur für Arbeit - Regionaldirektion Berlin Brandenburg;Friedrichstraße 34;10969;Berlin;+49 30 555599-5599;+49 30 555599-4999;Berlin-Brandenburg@arbeitsagentur.de;https://www.arbeitsagentur.de/vor-ort/rd-bb/startseite
Bundesagentur für Arbeit - Regionaldirektion Hessen;Saonestraße 2 - 4;60528;Frankfurt am Main;+49 69 6670-0;+49 69 6670-459;hessen@arbeitsagentur.de;https://www3.arbeitsagentur.de/web/content/DE/service/Ueberuns/Regionaldirektionen/Hessen/index.htm
Bundesagentur für Arbeit - Regionaldirektion Niedersachsen-Bremen;Röpkestraße 3;30173;Hannover;+49 511 9885-0;+49 511 9885-7777;niedersachsen-bremen@arbeitsagentur.de;https://www3.arbeitsagentur.de/web/content/DE/service/Ueberuns/Regionaldirektionen/NiedersachsenBremen/index.htm
Bundesagentur für Arbeit - Regionaldirektion Nord;Projensdorfer Straße 82;24106;Kiel;+49 431 3395-0;+49 431 3395-9999;Nord@arbeitsagentur.de;https://www3.arbeitsagentur.de/web/content/DE/service/Ueberuns/Regionaldirektionen/Nord/index.htm
Bundesagentur für Arbeit - Regionaldirektion Nordrhein-Westfalen;Josef-Gockeln-Straße 7;40474;Düsseldorf;+49 211 4306-0;+49 211 4306-377;Nordrhein-Westfalen@arbeitsagentur.de;https://www.arbeitsagentur.de/vor-ort/rd-nrw/startseite
Bundesagentur für Arbeit - Regionaldirektion Rheinland-Pfalz Saarland;Eschberger Weg 68;66121;Saarbrücken;+49 681 849-0;+49 681 849-180;Rheinland-Pfalz-Saarland@arbeitsagentur.de;https://www3.arbeitsagentur.de/web/content/DE/service/Ueberuns/Regionaldirektionen/RheinlandPfalzSaarland/index.htm
Bundesagentur für Arbeit - Regionaldirektion Sachsen;Paracelsusstraße 12;09114;Chemnitz;+49 371 9118-0;+49 371 9118-697;Sachsen@arbeitsagentur.de;https://www3.arbeitsagentur.de/web/content/DE/service/Ueberuns/Regionaldirektionen/Sachsen/index.htm
Bundesagentur für Arbeit - Regionaldirektion Sachsen-Anhalt Thüringen;Frau-von-Selmnitz-Straße 6;06110;Halle;+49 345 1332-0;+49 345 1332-555;Sachsen-Anhalt-Thueringen@arbeitsagentur.de;https://www3.arbeitsagentur.de/web/content/DE/service/Ueberuns/Regionaldirektionen/SachsenAnhaltThueringen/index.htm
Bundesakademie für öffentliche Verwaltung (BAköV);Willy-Brandt-Straße 1;50321;Brühl;+49 22899 629-0;+49 22899 629-5100;poststelle@bakoev.bund.de;https://www.bakoev.bund.de
Bundesakademie für Sicherheitspolitik;Ossietzkystraße 44 - 45;13187;Berlin;+49 30 40046-420;+49 30 40046-421;info@baks.bund.de;https://www.baks.bund.de/DE/Home/home_node.html
Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr;Ferdinand-Sauerbruch-Straße 1;56073;Koblenz;+49 261 400-0;+49 261 400-12660;baainbwposteingang@bundeswehr.org;https://www.bundeswehr.de/de/organisation/ausruestung-baainbw
Bundesamt für Äußere Restitutionen;Potsdamer Straße 1;56075;Koblenz;+49 261 505-0;+49 261 505-226;Poststelle@bundesarchiv.de;
Bundesamt für Auswärtige Angelegenheiten;Kirchhofstraße 1 - 2;14776;Brandenburg;+49 30 184730-0;;info@bfaa.bund.de;https://bfaa.diplo.de/bfaa-de
Bundesamt für Bauwesen und Raumordnung;Deichmanns Aue 31 - 37;53179;Bonn;+49 22899 401-0;+49 22899 401-1270;zentrale@bbr.bund.de;https://www.bbr.bund.de
Bundesamt für Bevölkerungsschutz und Katastrophenhilfe;Provinzialstraße 93;53127;Bonn;+49 22899 550-0;+49 22899 550-1620;poststelle@bbk.bund.de;https://www.bbk.bund.de
Bundesamt für das Personalmanagement der Bundeswehr;Militärringstr. 1000;50737;Köln;+49 221 9571-4002;;PIZPersonalBuergerdialog@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal
Bundesamt für den Militärischen Abschirmdienst;Brühler Straße 300;50968;Köln;+49 221 9371-2500;+49 221 9371-2407;mad@bundeswehr.org;https://www.bundeswehr.de/de/organisation/weitere-bmvg-dienststellen/mad-bundesamt-fuer-den-militaerischen-abschirmdienst
Bundesamt für die Sicherheit der nuklearen Entsorgung;Wegelystraße 8;10623;Berlin;+49 30 18 43210;;info@base.bund.de;https://www.base.bund.de
Bundesamt für Familie und zivilgesellschaftliche Aufgaben;An den Gelenkbogenhallen 2-6;50679;Köln;+49 221 3673-0;+49 221 3673-4661, -4662;pressestelle@bafza.bund.de;https://www.bafza.de/
Bundesamt für Infrastruktur, Umweltschutz und Dienstleistungen der Bundeswehr;Fontainengraben 200;53123;Bonn;+49 228 5504 - 0;;BAIUDBwPosteingang@bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen
Bundesamt für Justiz;Adenauerallee 99 - 103;53113;Bonn;+49 22899 410-40;+49 22899 410-5050;verwaltung@bfj.bund.de;https://www.bundesjustizamt.de/
Bundesamt für Kartographie und Geodäsie;Richard-Strauss-Allee 11;60598;Frankfurt am Main;+49 69 6333-1;+49 69 6333-235;mailbox@bkg.bund.de;https://www.bkg.bund.de
Bundesamt für Logistik und Mobilität;Werderstraße 34;50672;Köln;+49 221 5776-0;+49 221 5776-1777;poststelle@balm.bund.de;https://www.balm.bund.de
Bundesamt für Migration und Flüchtlinge;Frankenstraße 210;90461;Nürnberg;+49 911 943-0;+49 911 943-1000;service@bamf.bund.de;https://www.bamf.de
Bundesamt für Naturschutz;Konstantinstraße 110;53179;Bonn;+49 228 8491-0;+49 228 8491-9999;info@bfn.de;https://www.bfn.de/
Bundesamt für Seeschifffahrt und Hydrographie;Bernhard-Nocht-Straße 78;20359;Hamburg;+49 40 3190-0;+49 40 3190-5000;posteingang@bsh.de;https://www.bsh.de
Bundesamt für Sicherheit in der Informationstechnik;Godesberger Allee 87;53175;Bonn;+49 22899 9582-0;+49 22899 9582-5400;bsi@bsi.bund.de;https://www.bsi.bund.de/DE/Home/home_node.html
Bundesamt für Soziale Sicherung;Friedrich-Ebert-Allee 38;53113;Bonn;+49 228 619-0;;poststelle@bas.bund.de;https://www.bundesamtsozialesicherung.de
Bundesamt für Strahlenschutz;Willy-Brandt-Straße 5;38226;Salzgitter;+49 30 18 333-0;+49 30 18 333-1885;ePost@bfs.de;https://www.bfs.de
Bundesamt für Verbraucherschutz und Lebensmittelsicherheit;Bundesallee 51;38116;Braunschweig;+49 3018 444-99999;;poststelle@bvl.bund.de;https://www.bvl.bund.de
Bundesamt für Verfassungsschutz;Merianstraße 100;50765;Köln;+49 30 18 792-0, +49 228 99 792-0;+49 30 18 10 792-2915, +49 228 99 10 792-2915;kontakt@bfv.bund.de;https://www.verfassungsschutz.de/
Bundesamt für Wirtschaft und Ausfuhrkontrolle;Frankfurter Straße 29 - 35;65760;Eschborn;+49 6196 908-0;+49 6196 908-1800;Poststelle@bafa.bund.de;https://www.bafa.de/DE/Home/home_node.html
Bundesamt für zentrale Dienste und offene Vermögensfragen;DGZ-Ring 12;13086;Berlin;+49 3018 7030-0;+49 30 187030-1140;poststelle@badv.bund.de;https://www.badv.bund.de/DE/Home/home_node.html
Bundesanstalt für Arbeitsschutz und Arbeitsmedizin;Friedrich-Henkel-Weg 1 - 25;44149;Dortmund;+49 231 9071-0;+49 231 9071-2454;poststelle@baua.bund.de;https://www.baua.de/DE/Home/Home_node.html
Bundesanstalt für den Digitalfunk der Behörden und Organisationen mit Sicherheitsaufgaben;Fehrbelliner Platz 3;10707;Berlin;+49 3018 681-45771;+49 3018 681-45880;poststelle@bdbos.bund.de;https://www.bdbos.bund.de/DE/Home/home_node.html
Bundesanstalt für Finanzdienstleistungsaufsicht;Graurheindorfer Straße 108;53117;Bonn;+49 228 4108-0;+49 228 4108-1550;poststelle@bafin.de;https://www.bafin.de
Bundesanstalt für Finanzmarktstabilisierung c/o Bundesrepublik Finanzagentur;Olof-Palme-Straße 35;60439;Frankfurt am Main;+49 69 2561 616-1607;+49 69 2561 616-1429;info@fmsa.de;https://www.fmsa.de
Bundesanstalt für Geowissenschaften und Rohstoffe;Stilleweg 2;30655;Hannover;+49 511 643-0;+49 511 643-2304;poststelle@bgr.de;https://www.bgr.bund.de/DE/Home/homepage_node.html
Bundesanstalt für Gewässerkunde;Am Mainzer Tor 1;56068;Koblenz;+49 261 1306-0;;posteingang@bafg.de;https://www.bafg.de/DE/0_Home/home_node.html
Bundesanstalt für Immobilienaufgaben;Ellerstraße 56;53119;Bonn;+49 228 37787-0;+49 228 37787-200;Info@bundesimmobilien.de;https://www.bundesimmobilien.de/
Bundesanstalt für Landwirtschaft und Ernährung;Deichmanns Aue 29;53179;Bonn;+49 22899 6845-0;+49 22899 6845-4518;info@ble.de;https://www.ble.de/DE/Startseite/startseite_node.html
Bundesanstalt für Materialforschung und -prüfung;Unter den Eichen 87;12205;Berlin;+49 30 8104-0;+49 30 8112029;info@bam.de;https://www.bam.de/Navigation/DE/Home/home.html
Bundesanstalt für Post und Telekommunikation Deutsche Bundespost;Friesdorfer Straße 123;53175;Bonn;+49 228 9744-0;+49 228 9744-870;stab@banst-pt.de;https://www.banst-pt.de
Bundesanstalt für Straßen- und Verkehrswesen (BASt);Brüderstraße 53;51427;Bergisch Gladbach;+49 2204 43-0;+49 2204 43-1150;post@bast.de;https://www.bast.de/DE/Home/home_node.html
Bundesanstalt für vereinigungsbedingte Sonderaufgaben;Schönhauser Allee 120;10437;Berlin;+49 30 4432-2300;+49 30 2451-1200;Sekretariat.Abwicklerin@bvs-mail.de;https://bvs.bund.de
Bundesanstalt für Verwaltungsdienstleistungen;Schloßplatz 9;26603;Aurich;+49 4941 602-0;+49 4941 602-378;info@bav.bund.de;https://www.bav.bund.de/DE/1_Home/home_node.html
Bundesanstalt für Wasserbau;Kußmaulstraße 17;76187;Karlsruhe;+49 721 9726-0;;info@baw.de;https://www.baw.de/de/home/home.html
