Id;Name;ParentId;Depth;Classification;Jurisdiction;ResolvedMinistry
14277;Agentur für Arbeit Cottbus;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14278;Agentur für Arbeit Darmstadt;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11078;Agentur für Arbeit Deggendorf;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14279;Agentur für Arbeit Dessau – Roßlau – Wittenberg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14280;Agentur für Arbeit Detmold;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11079;Agentur für Arbeit Donauwörth;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14281;Agentur für Arbeit Dortmund;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14282;Agentur für Arbeit Dresden;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14283;Agentur für Arbeit Duisburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14284;Agentur für Arbeit Düsseldorf;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14285;Agentur für Arbeit Eberswalde;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14286;Agentur für Arbeit Elmshorn;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14287;Agentur für Arbeit Emden – Leer;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14288;Agentur für Arbeit Erfurt;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14289;Agentur für Arbeit Essen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14290;Agentur für Arbeit Flensburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14292;Agentur für Arbeit Frankfurt a. M.;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14291;Agentur für Arbeit Frankfurt (Oder);88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14293;Agentur für Arbeit Freiberg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14294;Agentur für Arbeit Freiburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14295;Agentur für Arbeit Freising;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11080;Agentur für Arbeit Fürth;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14296;Agentur für Arbeit Gelsenkirchen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14297;Agentur für Arbeit Gießen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14298;Agentur für Arbeit Göppingen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14299;Agentur für Arbeit Gotha;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14300;Agentur für Arbeit Göttingen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14301;Agentur für Arbeit Greifswald;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14302;Agentur für Arbeit Hagen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14303;Agentur für Arbeit Halberstadt;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14304;Agentur für Arbeit Halle;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
13631;Agentur für Arbeit Hamburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14306;Agentur für Arbeit Hamm;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14307;Agentur für Arbeit Hanau;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14308;Agentur für Arbeit Hannover;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14309;Agentur für Arbeit Heide;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14310;Agentur für Arbeit Heidelberg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14311;Agentur für Arbeit Heilbronn;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14312;Agentur für Arbeit Helmstedt;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14313;Agentur für Arbeit Herford;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
5769;Agentur für Arbeit Heusweiler;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14314;Agentur für Arbeit Hildesheim;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11081;Agentur für Arbeit Hof, Geschäftsstelle Münchberg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
5770;Agentur für Arbeit Homburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11082;Agentur für Arbeit Ingolstadt;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14315;Agentur für Arbeit Iserlohn;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14316;Agentur für Arbeit Jena;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14317;Agentur für Arbeit Kaiserslautern – Pirmasens;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
4360;Agentur für Arbeit Karlsruhe-Rastatt;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14318;Agentur für Arbeit Kassel;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11083;Agentur für Arbeit Kempten-Memmingen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14319;Agentur für Arbeit Kiel;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14320;Agentur für Arbeit Koblenz – Mayen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14321;Agentur für Arbeit Köln;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14322;Agentur für Arbeit Konstanz – Ravensburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14323;Agentur für Arbeit Korbach;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14324;Agentur für Arbeit Krefeld;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14325;Agentur für Arbeit Landau;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11084;Agentur für Arbeit Landshut-Pfarrkirchen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
5771;Agentur für Arbeit Lebach;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14326;Agentur für Arbeit Leipzig;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14327;Agentur für Arbeit Limburg – Wetzlar;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14328;Agentur für Arbeit Lörrach;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14329;Agentur für Arbeit Lübeck;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14330;Agentur für Arbeit Ludwigsburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14331;Agentur für Arbeit Ludwigshaven;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14332;Agentur für Arbeit Lüneburg – Uelzen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14333;Agentur für Arbeit Magdeburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14334;Agentur für Arbeit Mainz;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14335;Agentur für Arbeit Mannheim;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14336;Agentur für Arbeit Marburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
5772;Agentur für Arbeit Merzig;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14337;Agentur für Arbeit Meschede – Soest;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14338;Agentur für Arbeit Mettmann;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14339;Agentur für Arbeit Mönchengladbach;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14340;Agentur für Arbeit Montabaur;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11085;Agentur für Arbeit München;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14341;Agentur für Arbeit Nagold – Pforzheim;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14342;Agentur für Arbeit Neubrandenburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14343;Agentur für Arbeit Neumünster;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
5773;Agentur für Arbeit Neunkirchen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14344;Agentur für Arbeit Neuruppin;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14345;Agentur für Arbeit Neuwied;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14346;Agentur für Arbeit Nienburg – Verden;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14347;Agentur für Arbeit Nordhausen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14348;Agentur für Arbeit Nordhorn;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11086;Agentur für Arbeit Nürnberg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14349;Agentur für Arbeit Oberhausen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14350;Agentur für Arbeit Offenbach;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14351;Agentur für Arbeit Offenburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14352;Agentur für Arbeit Oldenburg – Wilhelmshaven;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14353;Agentur für Arbeit Oschatz;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14354;Agentur für Arbeit Osnabrück;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14355;Agentur für Arbeit Paderborn;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11087;Agentur für Arbeit Passau;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14356;Agentur für Arbeit Pfarrkirchen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14357;Agentur für Arbeit Pirna;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14358;Agentur für Arbeit Plauen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14359;Agentur für Arbeit Potsdam;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14360;Agentur für Arbeit Recklinghausen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11088;Agentur für Arbeit Regensburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14361;Agentur für Arbeit Reutlingen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14362;Agentur für Arbeit Rheine;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14363;Agentur für Arbeit Riesa;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11089;Agentur für Arbeit Rosenheim;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14364;Agentur für Arbeit Rostock;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14365;Agentur für Arbeit Rottweil – Villingen-Schwennigen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
5774;Agentur für Arbeit Saarbrücken;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14366;Agentur für Arbeit Saarland;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
5775;Agentur für Arbeit Saarlouis;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14367;Agentur für Arbeit Sangerhausen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14368;Agentur für Arbeit Schwäbisch Hall – Tauberbischofsheim;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11090;Agentur für Arbeit Schwandorf;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11091;Agentur für Arbeit Schweinfurt;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14369;Agentur für Arbeit Schwerin;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14370;Agentur für Arbeit Siegen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14371;Agentur für Arbeit Solingen-Wuppertal;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14372;Agentur für Arbeit Stade;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
7264;Agentur für Arbeit Staßfurt;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
7265;Agentur für Arbeit Stendal;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
5776;Agentur für Arbeit St. Ingbert;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14373;Agentur für Arbeit Stralsund;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14374;Agentur für Arbeit Stuttgart;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
5777;Agentur für Arbeit St. Wendel;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14375;Agentur für Arbeit Suhl;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
5778;Agentur für Arbeit Sulzbach;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11092;Agentur für Arbeit Traunstein;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14376;Agentur für Arbeit Trier;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14377;Agentur für Arbeit Ulm;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14378;Agentur für Arbeit Vechta;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
5779;Agentur für Arbeit Völklingen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
5780;Agentur für Arbeit Wadern;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14379;Agentur für Arbeit Waiblingen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11093;Agentur für Arbeit Weiden;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11094;Agentur für Arbeit Weilheim;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14380;Agentur für Arbeit Weißenfels;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14381;Agentur für Arbeit Wesel;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14382;Agentur für Arbeit Wiesbaden;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14383;Agentur für Arbeit Würzburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14384;Agentur für Arbeit Zwickau;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
49269;Agentur für Innovation in der Cybersicherheit GmbH;;0;IT-Dienstleister;Bund;Bundesministerium der Verteidigung (BMVg)
51922;AGF Videoforschung GmbH;;0;Rundfunk;Bund;Bundesministerium für Bildung und Forschung (BMBF)
49296;AHK Russland;;0;Wirtschaftsförderung;Bund;Bundesministerium für Wirtschaft und Klimaschutz (BMWK)
7;Akademie der Künste;;0;Akademie der Künste;Bund;Beauftragte der Bundesregierung für Kultur und Medien (BKM)
8;Akademie für Raumforschung und Landesplanung;;0;Akademie;Bund;Bundesministerium für Bildung und Forschung (BMBF)
10;Alexander-von-Humboldt-Stiftung;;0;Stiftung des Privatrechts;Bund;Auswärtiges Amt (AA)
12;Amt für den Militärischen Abschirmdienst;86.0;1;Geheimdienst;Bund;Bundesministerium der Verteidigung (BMVg)
580;Amt für Heeresentwicklung;86.0;1;Bundeswehr;Bund;Bundesministerium der Verteidigung (BMVg)
15;Amt für Neckarausbau Heidelberg;947.0;2;Bau;Bund;Bundesministerium für Digitales und Verkehr (BMDV)
50139;Annette von Droste zu Hülshoff-Stiftung;;0;Stiftung des Privatrechts;Bund;Beauftragte der Bundesregierung für Kultur und Medien (BKM)
16;Antidiskriminierungsstelle des Bundes;;0;Beratungsstelle;Bund;Bundesministerium für Familie, Senioren, Frauen und Jugend (BMFSFJ)
52177;AOK Bundesverband eGbR;;0;Verband;Bund;Bundesministerium für Gesundheit (BMG)
16833;Arbeitsgemeinschaft der für Städtebau, Bau- und Wohnungswesen zuständigen Minister und Senatoren der 16 Länder der Bundesrepublik Deutschland;;0;Bau;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14157;Arbeitsmarktservice im Landkreis Diepholz;88.0;0;Jobcenter;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
36;Artillerieschule des Heeres;;0;Militärische Ausbildungsstätte;Bund;Bundesministerium der Verteidigung (BMVg)
37;Astrophysikalisches Institut;;0;;Bund;Bundesministerium für Bildung und Forschung (BMBF)
6574;Audi BKK;135.0;0;Krankenkasse;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
41;Ausbildungszentrum Munster;;0;Militärische Ausbildungsstätte;Bund;Bundesministerium der Verteidigung (BMVg)
42;Ausbildungszentrum Spezielle Operationen;;0;Militärische Ausbildungsstätte;Bund;Bundesministerium der Verteidigung (BMVg)
52044;Ausschuss für Digitales und Staatsmodernisierung;;0;;Bund;Deutscher Bundestag
43;Auswärtiges Amt;;0;Ministerium;Bund;Auswärtiges Amt (AA)
11168;Autobahndirektion Nordbayern;;0;Autobahndirektion;Bund;Bundesministerium für Digitales und Verkehr (BMDV)
51680;Autobahn GmbH des Bundes - Niederlassung Nordbayern;;0;Straßen und Grünflächen;Bund;Bundesministerium für Digitales und Verkehr (BMDV)
6575;BAHN-BKK;135.0;0;Krankenkasse;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
44;BARMER GEK;135.0;2;Krankenkasse;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
48946;Beauftragte der Bundesregierung für die Anliegen von Betroffenen von terroristischen und extremistischen Anschlägen im Inland;;0;Beauftragte;Bund;Bundesministerium des Innern und für Heimat (BMI)
45;Beauftragte der Bundesregierung für Informationstechnik;;0;Beauftragte;Bund;Bundesministerium des Innern und für Heimat (BMI)
46;Beauftragte der Bundesregierung für Menschenrechtsfragen;85.0;1;;Bund;Bundesministerium der Justiz (BMJ)
48945;Beauftragte der Bundesregierung für Menschenrechtsfragen im Bundesministerium der Justiz;;0;Beauftragte;Bund;Bundesministerium der Justiz (BMJ)
47;Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration;72.0;1;Beauftragte;Bund;Bundeskanzleramt (BKAmt)
48;Beauftragter der Bundesregierung für Aussiedlerfragen und nationale Minderheiten;;0;Beauftragte;Bund;Bundesministerium des Innern und für Heimat (BMI)
49;Beauftragter der Bundesregierung für den Berlin-Umzug und den Bonn-Ausgleich;94.0;1;Beauftragte;Bund;Bundesministerium für Digitales und Verkehr (BMDV)
48948;Beauftragter der Bundesregierung für den Schienenverkehr;;0;Beauftragte;Bund;Bundesministerium für Digitales und Verkehr (BMDV)
49839;Beauftragter der Bundesregierung für die Akzeptanz sexueller und geschlechtlicher Vielfalt;;0;Beauftragte;Bund;Bundesministerium für Familie, Senioren, Frauen und Jugend (BMFSFJ)
51;Beauftragter der Bundesregierung für die Belange der Patientinnen und Patienten;;0;Beauftragte;Bund;Bundesministerium für Gesundheit (BMG)
